Agent_X,Agent_Y,Agent_Z
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
8.055345,0.3708907,-43.668274
7.7240324,0.36343,-43.67928
6.9830904,0.35627422,-43.689667
6.136719,0.35377398,-43.674362
5.1876683,0.35162887,-43.62551
4.142564,0.34960258,-43.536373
3.0176961,0.3478618,-43.401176
1.8172182,0.34619707,-43.21944
0.5405651,0.3445667,-43.009663
-0.8074075,0.34297067,-42.75579
-2.2331522,0.3414192,-42.506798
-3.7358828,0.33990183,-42.269512
-5.2878113,0.33845136,-41.916565
-6.865649,0.33717242,-41.42156
-8.455843,0.33599553,-40.79063
-10.040791,0.33485878,-40.011147
-11.604875,0.33375278,-39.080315
-13.118013,0.33269033,-37.97915
-14.642514,0.33190432,-36.870102
-16.276167,0.33197737,-35.94978
-17.523155,0.3334739,-34.727867
-18.705969,0.33433175,-33.51576
-19.814068,0.33575484,-32.290405
-21.003899,0.33659562,-31.168901
-22.2581,0.33676848,-30.122465
-23.18308,0.33715415,-28.77498
-24.115072,0.33603472,-27.376806
-25.127636,0.336467,-26.057556
-26.06924,0.33658013,-24.704357
-27.026012,0.33715853,-23.389023
-27.87761,0.33667696,-21.947908
-28.913467,0.33762816,-20.775211
-30.01673,0.3382321,-19.698977
-31.243578,0.33930436,-18.839447
-32.49314,0.3399358,-18.052002
-33.771317,0.3408,-17.39645
-35.0071,0.34221062,-16.862274
-36.244495,0.34353837,-16.516333
-37.44943,0.34492052,-16.347439
-38.638798,0.34964588,-16.280289
-39.884636,0.3577805,-16.237694
-41.190742,0.36549604,-16.346428
-42.488525,0.374171,-16.535599
-43.83157,0.38220114,-16.794716
-45.159218,0.39097804,-17.17398
-46.510517,0.3996116,-17.59074
-47.88809,0.40775922,-18.150663
-49.27788,0.4147036,-18.856873
-50.6732,0.41834176,-19.692703
-52.08617,0.43865907,-20.605947
-53.507294,0.55778474,-21.5519
-54.960106,0.6045491,-22.536983
-56.44498,0.70650935,-23.52805
-58.034397,0.7174369,-24.41168
-59.694035,0.79448974,-25.210255
-61.399513,1.0461198,-25.90571
-63.105106,1.4924787,-26.496775
-64.86921,1.8737341,-26.979631
-66.62732,2.36274,-27.391554
-68.42589,2.7990532,-27.731852
-70.26996,3.1167955,-28.017778
-72.10473,3.5250163,-28.259785
-73.999596,3.683823,-28.451656
-75.90216,3.6811707,-28.614622
-77.801926,3.5016744,-28.777138
-79.699005,3.1441574,-28.939716
-81.5949,2.6108935,-29.109035
-83.52837,2.212386,-29.250631
-85.46589,1.9266608,-29.343489
-87.3874,1.6892434,-29.400066
-89.29007,1.5201483,-29.444086
-91.1721,1.3635715,-29.483028
-93.03271,1.2301413,-29.510494
-95.04963,1.1747677,-29.59331
-97.055244,1.1645105,-29.709095
-99.02528,1.1289101,-29.651108
-100.98887,1.0515568,-29.604307
-102.91803,0.9933277,-29.666325
-104.79542,0.9242277,-29.51528
-106.61629,0.8594266,-29.175257
-108.36501,0.80547994,-28.663343
-110.022354,0.62503874,-28.00096
-111.57114,0.41850048,-27.183128
-113.017204,0.25146565,-26.23488
-114.35199,0.023108505,-25.179289
-115.59297,-0.15609531,-24.042786
-116.76916,-0.3190083,-22.862675
-117.858734,-0.6493362,-21.65678
-118.84434,-0.97772,-20.404068
-119.80313,-1.2031249,-19.136711
-120.70818,-1.5114107,-17.859945
-121.52867,-1.7460493,-16.547539
-122.28825,-1.9104767,-15.21654
-122.986305,-2.0924096,-13.867081
-123.62143,-2.279442,-12.499921
-124.16299,-2.4412088,-11.1061945
-124.62288,-2.595759,-9.695166
-125.02157,-2.764185,-8.277421
-125.3658,-2.9352436,-6.819153
-125.619194,-3.0927002,-5.2750044
-125.77677,-3.2684448,-3.6587877
-125.847664,-3.6079972,-2.000106
-125.78378,-3.874808,-0.28743282
-125.58466,-4.0947723,1.4601423
-125.27201,-4.384677,3.2375965
-124.84458,-4.6496186,5.044384
-124.245514,-4.8498073,6.849348
-123.46313,-5.19436,8.616036
-122.50548,-5.5767546,10.348794
-121.32132,-5.8572617,11.987043
-119.95646,-6.3420196,13.498877
-118.17328,-6.711429,14.999531
-116.02132,-6.93916,16.17587
-113.702354,-7.0795236,17.103302
-111.27386,-7.2433157,17.845617
-108.774994,-7.3623376,18.487694
-106.245384,-7.5165634,19.166609
-103.698784,-7.7566404,19.909405
-101.140465,-8.268723,20.656532
-98.51278,-8.648586,21.343233
-95.79078,-8.95253,21.7384
-93.07437,-8.855007,21.728354
-90.4922,-8.312538,21.443258
-87.82283,-8.156469,21.155813
-85.13075,-8.181018,20.873138
-82.43209,-8.383347,20.59187
-79.720314,-8.764102,20.316751
-76.953766,-8.931833,20.21169
-74.176895,-8.944018,20.487648
-71.45709,-8.945104,21.177393
-68.85668,-8.94542,22.272594
-66.43643,-8.945716,23.753096
-64.254005,-8.94602,25.589325
-62.36236,-8.946316,27.743101
-60.808296,-8.946602,30.16832
-59.6312,-8.946877,32.81192
-58.862053,-8.947141,35.61504
-58.522568,-8.947396,38.514423
-58.5,-8.4159565,39.24
-58.5,-7.803041,39.24
-58.5,-7.288192,39.24
-58.5,-6.8714094,39.24
-58.5,-6.5526934,39.24
-58.5,-6.3320436,39.24
-58.5,-6.2094603,39.24
-58.5,-6.1849437,39.24
-58.5,-6.258494,39.24
-58.5,-6.43011,39.24
-58.5,-6.699793,39.24
-58.5,-7.067542,39.24
-58.5,-7.533358,39.24
-58.5,-8.09724,39.24
-58.5,-8.75919,39.24
-58.50383,-8.918785,39.27405
-58.51145,-8.903326,39.44066
-58.52403,-8.8916235,39.729637
-58.549488,-8.871265,40.121765
-58.58794,-8.846853,40.619556
-58.642815,-8.791918,41.213696
-58.72014,-8.726368,41.890602
-58.81888,-8.64552,42.645695
-58.940914,-8.5452175,43.473557
-59.08627,-8.420256,44.37265
-59.24726,-8.313366,45.348446
-59.412052,-8.217326,46.382633
-59.57566,-8.079873,47.43822
-59.751213,-7.945731,48.53376
-59.93347,-7.770146,49.668205
-60.119877,-7.5322804,50.829803
-60.301014,-7.352649,52.055107
-60.37356,-7.14484,53.333195
-60.28106,-6.8660045,54.618885
-60.01752,-6.5634885,55.873703
-59.576138,-6.278075,57.085094
-58.95488,-6.1209984,58.26935
-58.17286,-6.0791826,59.421326
-57.212067,-6.026984,60.456146
-56.120857,-6.0163784,61.341404
-54.924942,-6.02869,62.057835
-53.655678,-6.144069,62.604153
-52.338867,-6.271441,62.968132
-51.007442,-6.450611,63.14423
-49.694458,-6.6775413,63.13579
-48.42333,-6.9152946,62.94807
-47.227703,-7.1840935,62.599796
-46.134933,-7.454757,62.09429
-45.147533,-7.6763644,61.47416
-44.29172,-7.8823953,60.767384
-43.58484,-8.09171,60.00701
-42.963043,-8.31167,59.140366
-42.40874,-8.535554,58.134285
-41.95902,-8.762603,56.99156
-41.653313,-8.889977,55.73608
-41.50901,-8.92052,54.39042
-41.550426,-8.921313,52.97382
-41.73285,-8.918123,51.63757
-41.889034,-8.914477,50.478767
-41.917065,-8.910712,49.49919
-41.833454,-8.907142,48.689354
-41.66126,-8.906218,47.83558
-41.3682,-8.907162,46.925232
-40.976818,-8.908823,45.961197
-40.506676,-8.910266,44.955288
-39.95623,-8.911624,43.915672
-39.293926,-8.912928,42.867588
-38.511864,-8.914212,41.825935
-37.615246,-8.915478,40.79744
-36.612312,-8.916722,39.784702
-35.509903,-8.917945,38.789658
-34.315243,-8.919146,37.81197
-33.0303,-8.920305,36.85856
-31.65673,-8.921267,35.950756
-30.203495,-8.922159,35.08821
-28.73844,-8.709797,34.31878
-27.243025,-8.377172,33.635498
-25.550133,-8.026727,32.89823
-23.725163,-7.8788786,32.15194
-21.819893,-7.7356563,31.518356
-19.86004,-7.469156,31.00624
-17.857061,-7.146938,30.552269
-15.853447,-6.7029405,30.125402
-13.7656765,-6.601744,29.649982
-11.628715,-6.554727,29.108656
-9.488162,-6.422319,28.45664
-7.3431726,-6.215135,27.721558
-5.1721363,-6.03221,26.952751
-3.0249026,-5.9875083,26.038519
-0.9688453,-6.0250683,24.888966
1.084204,-6.146151,23.68022
3.1597807,-6.2409625,22.731726
5.1952963,-6.373075,22.152916
7.319546,-6.5866427,21.867405
9.442842,-6.841483,21.901396
11.349369,-7.07595,22.22292
13.132628,-7.3011575,22.909536
14.791759,-7.5369096,23.96725
16.320461,-7.7255955,25.288368
17.743258,-7.780315,26.785212
19.168943,-7.7494597,28.35063
20.717484,-7.732646,29.873446
22.458809,-7.7241507,31.250322
24.364307,-7.621091,32.434414
26.431168,-7.451401,33.367874
28.630346,-7.266823,34.01299
30.894855,-6.973122,34.31342
33.17209,-6.704393,34.27294
35.356403,-6.424331,33.89688
37.517994,-6.1944313,33.316254
39.700127,-6.0433636,32.719917
41.91144,-5.969952,32.158436
44.156326,-5.9141855,31.674822
46.43911,-5.992264,31.341463
48.747906,-6.196965,31.141708
51.080593,-6.3539267,31.073597
53.393555,-6.496645,31.240593
55.651863,-6.6343184,31.625467
57.85662,-6.769371,32.249157
59.996056,-6.893786,33.071613
62.072327,-6.9527807,34.04907
64.11279,-6.9831057,35.10077
66.13945,-6.917943,36.17623
68.15431,-6.810554,37.27035
70.152565,-6.7071524,38.39479
72.1313,-6.640485,39.556335
74.091255,-6.609164,40.750793
76.03076,-6.6088076,41.979
77.95195,-6.60836,43.235683
79.85834,-6.6081305,44.514732
81.73042,-6.6080236,45.843082
83.56603,-6.6079755,47.221676
85.34189,-6.607954,48.676186
87.04193,-6.5945096,50.21836
88.65369,-6.550627,51.8517
90.16126,-6.4090796,53.574654
91.54414,-6.246263,55.39853
92.789894,-5.9843497,57.307163
93.88705,-5.6813536,59.298824
94.78115,-5.349363,61.384354
95.42424,-5.0298185,63.56221
95.80378,-4.7377667,65.80473
95.90706,-4.434674,68.07531
95.73887,-4.1653605,70.34636
95.30128,-3.934337,72.58514
94.49387,-3.6923475,74.69895
93.14054,-3.561334,76.50651
91.35557,-3.324078,77.83499
89.3303,-3.042034,78.73279
87.20638,-2.7394733,79.37906
85.01039,-2.4821024,79.80294
82.783295,-2.197939,80.070206
80.52963,-1.9272987,80.15738
78.25291,-1.7614156,80.06407
76.00315,-1.6553093,79.65503
73.83631,-1.5737083,78.908905
71.80784,-1.4631981,77.845245
69.96299,-1.3688867,76.48638
68.37222,-1.2636828,74.899895
67.14024,-1.0912602,73.21513
66.26155,-0.8771073,71.50832
65.70738,-0.7899481,69.82677
65.4411,-0.69379425,68.25524
65.417915,-0.6331551,66.76804
65.60621,-0.57724667,65.31932
66.00079,-0.5004035,63.917034
