Agent_X,Agent_Y,Agent_Z
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20677343,-140.484,6.328713
-0.20364246,-140.4841,6.362436
-0.18976982,-140.48102,6.5257483
-0.1647283,-140.47446,6.81301
-0.12823354,-140.46422,7.210778
-0.08002616,-140.45035,7.718
-0.021279769,-140.43303,8.326936
0.046347186,-140.41241,9.026015
0.12238965,-140.38847,9.814173
0.20671383,-140.36322,10.690484
0.29900444,-140.34067,11.653453
0.4224617,-140.32158,12.658926
0.5878708,-140.30379,13.643317
0.73345107,-140.28563,14.615835
0.8429033,-140.26675,15.579296
0.92542815,-140.24704,16.532436
0.9914571,-140.22699,17.47409
1.047539,-140.20721,18.403559
1.0973927,-140.18791,19.320368
1.1432356,-140.16742,20.22417
1.1840283,-140.14304,21.15276
1.2201875,-140.11253,22.165838
1.2525573,-140.07877,23.251595
1.2822533,-140.04283,24.405102
1.307104,-140.01198,25.62595
1.3246,-140.00021,26.913065
1.3367676,-140.00287,28.264977
1.3452393,-140.01442,29.683218
1.3490088,-140.06197,31.169113
1.3464903,-140.17036,32.715736
1.2996707,-140.29958,34.283787
1.1688583,-140.43973,35.854588
0.97813535,-140.6037,37.473236
0.8478385,-140.77567,39.145786
0.7817182,-140.94586,40.870815
0.76173675,-141.10841,42.647556
0.76715356,-141.27293,44.473656
0.78206813,-141.41968,46.346325
0.7949612,-141.5459,48.263084
0.8044056,-141.65561,50.219185
0.8070066,-141.69801,52.212975
0.7985391,-141.70755,54.247578
0.78620565,-141.01355,54.238094
0.7829533,-140.42516,54.23646
0.78024304,-139.93483,54.2351
0.77807486,-139.54257,54.23401
0.77644867,-139.24838,54.233192
0.7753646,-139.05225,54.232647
0.77482253,-138.9542,54.232376
0.77482253,-138.9542,54.232376
0.7753646,-139.05225,54.232647
0.77644867,-139.24838,54.233192
0.77807486,-139.54257,54.23401
0.78024304,-139.93483,54.2351
0.7829533,-140.42516,54.23646
0.78620565,-141.01355,54.238094
0.79,-141.7,54.24
0.7895966,-141.6766,54.255882
0.7886124,-141.66475,54.286522
0.78753847,-141.65968,54.33078
0.7863045,-141.6577,54.38839
0.7848712,-141.65709,54.459064
0.78321487,-141.65715,54.542534
0.781328,-141.65758,54.63854
0.7791985,-141.65808,54.746826
0.77683896,-141.65837,54.867157
0.774236,-141.6579,54.999336
0.7705566,-141.65775,55.19144
0.76463234,-141.65796,55.50545
0.75642794,-141.65764,55.93405
0.74587303,-141.65645,56.475727
0.73318285,-141.65408,57.117546
0.71851283,-141.65056,57.852715
0.7018674,-141.64606,58.679756
0.6826908,-141.64145,59.55978
0.66140103,-141.63805,60.43223
0.6390392,-141.6359,61.295948
0.61535096,-141.63478,62.18799
0.5869193,-141.63492,63.16689
0.50998175,-141.63588,64.22288
0.38435256,-141.63774,65.34181
0.20176642,-141.64032,66.51912
0.041956596,-141.6412,67.76456
-0.069763884,-141.64035,69.07876
-0.14100239,-141.63908,70.4582
-0.14895324,-141.63733,71.89901
-0.05599943,-141.6335,73.36279
0.12822962,-141.62466,74.792816
0.38418895,-141.61147,76.186554
0.699263,-141.59357,77.54272
1.0180267,-141.56909,78.90218
1.2712077,-141.53978,80.331
1.4217875,-141.50932,81.83199
1.490534,-141.48105,83.39731
1.4970851,-141.46005,85.01773
1.4325415,-141.45284,86.68109
1.2605743,-141.45682,88.38027
1.0116689,-141.47559,90.08676
0.7201967,-141.5111,91.75847
0.411601,-141.55344,93.39925
0.09929023,-141.60503,95.0415
-0.21396552,-141.6693,96.73011
-0.5278751,-141.73819,98.464455
-0.84589374,-141.81403,100.21574
-1.170954,-141.89699,101.93862
-1.4997964,-141.98376,103.63454
-1.8296257,-142.0731,105.306206
-2.1691644,-142.17758,106.980934
-2.5309772,-142.29967,108.69831
-2.912487,-142.42836,110.45734
-3.3112776,-142.53088,112.25525
-3.727741,-142.5084,114.07311
-4.1748857,-142.42648,115.91561
-4.672364,-142.28024,117.778046
-5.222197,-142.08722,119.65723
-5.8503757,-141.85793,121.507195
-6.61235,-141.60754,123.28594
-7.5203433,-141.36319,125.02959
-8.435073,-141.15594,126.80975
-9.321997,-140.97305,128.6423
-10.170262,-140.86159,130.53549
-10.972414,-140.81136,132.48285
-11.7301445,-140.80602,134.48071
-12.452893,-140.88216,136.5251
-13.149009,-140.99982,138.6116
-13.828093,-141.19272,140.73788
-14.49749,-141.45807,142.89539
-15.1144905,-141.73824,145.06987
-15.598802,-142.02286,147.26299
-15.985383,-142.26363,149.5062
-16.455038,-142.428,151.7477
-17.030514,-142.5241,153.95232
-17.717197,-142.54298,156.11395
-18.517757,-142.41794,158.2089
-19.402117,-142.32286,160.22021
-20.377832,-142.19858,162.1301
-21.498281,-142.07533,163.93452
-22.773827,-141.98706,165.66644
-24.03908,-141.92174,167.4413
-25.279057,-141.86887,169.2679
-26.506153,-141.82162,171.13622
-27.758192,-141.79692,172.98888
-29.087471,-141.82803,174.7299
-30.481993,-141.85449,176.35287
-31.817347,-141.83641,178.00307
-33.11051,-141.82417,179.7221
-34.39633,-141.75735,181.47351
-35.718117,-141.65802,183.23276
-37.072983,-141.53685,184.99701
-38.46495,-141.37274,186.75793
-39.90667,-141.19334,188.5024
-41.409733,-140.96222,190.17009
-43.01904,-140.70555,191.65686
-44.768536,-140.46751,192.9405
-46.71732,-140.24902,193.95602
-48.78123,-140.09807,194.82787
-50.859097,-140.06528,195.75275
-52.89242,-140.08888,196.7552
-54.839756,-140.13788,197.86562
-56.757767,-140.195,199.06136
-58.732403,-140.22365,200.14813
-60.754025,-140.24266,201.03969
-62.80734,-140.2598,201.73012
-64.87309,-140.27939,202.22618
-66.96079,-140.3036,202.53282
-69.0702,-140.3293,202.6117
-71.16922,-140.3411,202.53526
-73.30391,-140.34235,202.41737
-75.47892,-140.34378,202.41928
-77.68607,-140.35901,202.51358
-79.92092,-140.381,202.65543
-82.18329,-140.40852,202.8082
-84.47081,-140.43422,202.94106
-86.76462,-140.46059,203.03084
-89.060104,-140.49158,203.04163
-91.35457,-140.514,202.97139
-93.64498,-140.53174,202.81683
-95.9271,-140.54887,202.57031
-98.169624,-140.56638,202.16994
-100.327126,-140.57758,201.5905
-102.38554,-140.57333,200.83952
-104.3416,-140.5582,199.94283
-106.234215,-140.54643,198.94283
-108.11781,-140.54024,197.85822
-110.02186,-140.53584,196.74055
-111.96454,-140.5404,195.62016
-113.96526,-140.54619,194.53839
-116.05914,-140.55684,193.59972
-118.19778,-140.57735,192.76538
-120.35176,-140.59038,191.97125
-122.472275,-140.60397,191.1413
-124.47995,-140.61198,190.1708
-126.378815,-140.61526,189.03796
-128.17389,-140.60779,187.7022
-129.93782,-140.59187,186.27553
-131.7776,-140.57446,184.90683
-133.66301,-140.5596,183.59732
-135.56477,-140.54431,182.31158
-137.45802,-140.52817,181.01337
-139.30772,-140.52437,179.65437
-141.05019,-140.52899,178.16046
-142.65913,-140.54335,176.52426
-144.10143,-140.56499,174.73909
-145.3916,-140.636,172.8421
-146.49417,-140.72504,170.85248
-147.38211,-140.82036,168.77895
-148.07098,-140.92696,166.60324
-148.7595,-141.03699,164.43167
-149.44914,-141.14383,162.30193
-150.12431,-141.23302,160.18047
-150.77403,-141.29184,158.01875
-151.40437,-141.32335,155.82178
-152.00946,-141.30667,153.60744
-152.57585,-141.2675,151.38321
-153.0615,-141.21742,149.15782
-153.38148,-141.16988,146.946
-153.54921,-141.12975,144.76038
-153.57582,-141.08926,142.58221
-153.57076,-141.04497,140.37094
-153.6927,-140.99484,138.13138
-153.90306,-140.94957,135.86711
-154.07896,-140.9156,133.59967
-154.09914,-140.89195,131.34392
-153.96558,-140.86957,129.06604
-153.87321,-140.84549,126.7725
-153.8325,-140.83061,124.47726
-153.80748,-140.82068,122.181755
-153.77226,-140.81241,119.886375
-153.70229,-140.80632,117.59177
-153.58517,-140.79791,115.29918
-153.39647,-140.78505,113.0114
-153.14165,-140.76987,110.730064
-152.82124,-140.75443,108.45699
-152.41156,-140.7396,106.21637
-151.85219,-140.7307,104.02581
-151.17392,-140.72789,101.84154
-150.5767,-140.71642,99.62513
-150.0938,-140.69846,97.38133
-149.75398,-140.68051,95.111336
-149.53946,-140.67885,92.82602
-149.44482,-140.70535,90.5325
-149.4375,-140.77432,88.23783
-149.52661,-140.92772,85.94882
-149.75157,-141.11166,83.67123
-150.10664,-141.29431,81.410225
-150.6018,-141.46397,79.17473
-151.27032,-141.61249,76.98403
-152.15498,-141.74422,74.8701
-153.24066,-141.85039,72.85097
-154.53052,-141.93964,70.954636
-155.989,-142.01399,69.1839
-157.57515,-142.06755,67.52532
-159.2475,-142.11145,65.953224
-160.98036,-142.12923,64.44778
-162.77226,-142.09013,63.01388
-164.62546,-142.06383,61.684223
-166.53346,-142.07938,60.456642
-168.52771,-142.117,59.3258
-170.57463,-142.185,58.2886
-172.6636,-142.27571,57.340355
-174.78175,-142.37802,56.46029
-176.92053,-142.4894,55.63251
-179.07231,-142.58524,54.837288
-181.23224,-142.66629,54.062893
-183.39563,-142.76918,53.300774
-185.55856,-142.92654,52.54592
-187.71878,-143.1382,51.796528
-189.87048,-143.44476,51.05413
-192.01634,-143.79901,50.315434
-194.15431,-144.20511,49.57984
-196.28618,-144.63484,48.83984
-198.4168,-145.09454,48.114048
-200.5578,-145.57053,47.43044
-202.70996,-146.07143,46.801685
-204.87656,-146.58595,46.23627
-207.05191,-147.13206,45.738216
-209.23668,-147.70393,45.315014
-211.44467,-148.23306,44.964664
-213.66837,-148.72354,44.659874
-215.91216,-149.13834,44.398026
-218.17627,-149.47202,44.203552
-220.44922,-149.775,44.07538
-222.72949,-150.04137,44.014656
-225.01074,-150.30603,43.99736
-227.28925,-150.59457,44.008846
-229.56491,-150.90395,44.036957
-231.83324,-151.26369,44.074223
-234.10402,-151.53726,44.12741
-236.39508,-151.65175,44.175728
-238.68848,-151.7599,44.16479
-240.98268,-151.78459,44.089542
-243.27307,-151.76556,43.937164
-245.55739,-151.7279,43.714382
-247.81087,-151.67743,43.38784
-250.01677,-151.6073,42.907116
-252.21495,-151.52107,42.29573
-254.41864,-151.43451,41.72521
-256.58023,-151.34785,41.16392
-258.69855,-151.27673,40.59484
-260.7954,-151.22617,39.98793
-262.9024,-151.20097,39.292843
-264.99817,-151.2516,38.479816
-267.01248,-151.32413,37.496105
-268.8789,-151.39548,36.293602
-270.58273,-151.45804,34.82837
-272.25748,-151.56122,33.28309
